id,user_id,event_type,points,issue_id,created_at
8ceefd87-f1bf-4404-a29a-c54c42b8d613,ff5d0b20-c798-4567-8152-514ee823b563,upvote_received,31,,2026-06-04T03:37:52.960Z
a55193c7-f191-44d1-a993-e74336ae20c1,6a5f5dc4-2aa8-4d1c-ae1e-f1535dc0b459,verification_approved,12,38f20b1d-d87f-4d39-9712-d6173d4c2b06,2026-06-06T08:36:42.265Z
7be9116e-a237-41d7-aaf0-d2deee553c59,b295b090-7ce8-4346-8a8d-f2e4e60f3236,verification_approved,42,c802555e-4f0a-4efa-8120-f9753ad341af,2026-06-19T19:39:27.521Z
e66bd417-1136-41df-9dc3-3f3c990c730e,f170b4d8-8f56-4f52-9aae-02a145ea1d84,upvote_received,34,,2026-06-21T18:12:06.669Z
fd92b7c5-4771-4c25-a415-e4630bdb4cf7,42b9d525-9e1c-4c49-b788-ec437c1aa591,upvote_received,22,255a7850-ec1e-4f55-8b12-1ec30fb8db05,2026-06-25T03:34:35.048Z
b1664150-8986-4f6c-9666-83fab3b6509c,250ca593-e194-483e-9ac6-fd465d97c4db,report_submitted,32,38f20b1d-d87f-4d39-9712-d6173d4c2b06,2026-05-30T04:05:37.633Z
7b3a3b18-0fc8-4de0-82df-0a1b1c1a8022,15932c32-bdd5-4ebe-97b9-ee94b3fa9e1c,verification_approved,17,,2026-06-15T17:11:45.087Z
ca609543-0ce5-42c6-9c37-33a5fa6c563e,14076684-d510-4186-abf1-7fd70f80055d,upvote_received,34,8400945e-0ea6-494f-b953-690431f4fd8e,2026-06-18T18:41:52.628Z
0ae785b9-df81-4e68-abae-af969d39e178,250ca593-e194-483e-9ac6-fd465d97c4db,verification_approved,18,bbd93276-dfea-4620-94e8-2f77de7777f3,2026-06-23T21:56:25.960Z
8f6669be-e19b-40bb-9fc4-5d3030481702,a7a79cdf-da63-4c19-97ca-19e8313e7b55,verification_approved,33,,2026-06-24T05:23:09.211Z
44e2dd28-d2c7-40d5-89ef-b0facc3d4eae,026d70da-2769-4731-8535-d9c7e9dbeb52,report_submitted,10,0fb85080-7d52-4e5b-8ce6-710566d9b93b,2026-06-07T06:07:46.849Z
50e9585e-b1f8-4e04-90c2-ab1fdd7790bf,026d70da-2769-4731-8535-d9c7e9dbeb52,verification_approved,39,,2026-06-11T04:43:29.513Z
d04340d3-dd2d-43a4-84b1-e55628226e7b,15932c32-bdd5-4ebe-97b9-ee94b3fa9e1c,upvote_received,20,2acc5a1a-3869-4283-9ecd-ae8be2de5716,2026-06-17T02:00:48.793Z
7f09ccb9-574e-414a-b436-efda07b98057,9f0166a7-9a1e-4e56-ada7-4516a2717fb8,verification_approved,45,3822398f-6f25-4f8f-8f19-03297d187f8b,2026-06-10T06:33:41.357Z
1eea2486-cfe3-49aa-8df5-c66daabc0981,e4e691ba-fd51-45ad-afdc-4aa3d8474bed,report_submitted,23,6deac9a5-813c-49f9-90fb-f14089101dc0,2026-06-04T01:14:13.059Z
59f0f0ee-933d-4f9d-9aed-56644cfc3c51,42b9d525-9e1c-4c49-b788-ec437c1aa591,report_submitted,9,,2026-05-30T13:50:02.944Z
1211ead1-7068-442e-a3d4-2aa5fd8cba2e,558b4ade-c7dc-456e-a817-ca2250410132,verification_approved,11,d0fb691e-c48e-4854-9e60-847dca53eaf8,2026-06-04T20:51:12.678Z
976dcab1-6ead-4d04-a471-57b413ad34ca,d196618d-abd0-4d68-bccc-da1301e73bde,upvote_received,12,d1a061e1-f03c-47c5-b7a0-ef39fb992222,2026-06-01T16:26:47.565Z
628300ea-f622-469d-9a09-d5fec63aad0c,e7de5251-ea87-42e3-8eb5-d0369c7d3145,report_submitted,21,a45b63e9-79ef-43d4-99b1-b43f78cdfbcb,2026-06-10T14:24:35.361Z
424dc66d-2141-49eb-a191-18048ceb29e8,9f0166a7-9a1e-4e56-ada7-4516a2717fb8,upvote_received,17,,2026-06-21T10:14:04.464Z
c44c7f91-a7e0-411a-94d7-9d972724a082,558b4ade-c7dc-456e-a817-ca2250410132,verification_approved,8,64db814b-f412-4ee7-9dc7-c926095b2701,2026-06-18T04:59:34.282Z
011b1946-bf88-47c5-9252-f87e8096e7a9,f170b4d8-8f56-4f52-9aae-02a145ea1d84,report_submitted,29,21f97aaf-75e7-45fd-8dd4-fd6ad9414db8,2026-06-24T21:44:50.120Z
f721e23e-bd8e-4457-9eff-46e5c03de69a,e4e691ba-fd51-45ad-afdc-4aa3d8474bed,report_submitted,41,3b197991-fcf5-4fb2-9380-c635ac508ecb,2026-06-22T16:27:01.878Z
abed13cc-6e37-4f63-97ea-872ce0c1d089,42b9d525-9e1c-4c49-b788-ec437c1aa591,report_submitted,41,,2026-06-23T16:23:08.383Z
6fb63b4e-2d04-40ff-986a-b79d4d13981a,2c63bfe7-2d97-411c-a0fd-ca12eee458c0,report_submitted,40,83a3720a-6a76-41a5-aff5-e80f0005800c,2026-06-13T19:37:50.530Z
40553f5d-432a-4440-a0c7-b540f145fa99,026d70da-2769-4731-8535-d9c7e9dbeb52,report_submitted,24,1858816d-06b1-485c-94c8-d56a2a8fafc7,2026-06-12T18:50:47.932Z
0052d178-09df-4c1c-b476-d3e1187869ee,d196618d-abd0-4d68-bccc-da1301e73bde,verification_approved,21,,2026-06-23T11:04:34.306Z
ecdc53ad-b4c5-42a9-a169-9865a9d70d46,250ca593-e194-483e-9ac6-fd465d97c4db,upvote_received,45,b3522d9b-d2c7-4ac2-a7da-643f12d30a9c,2026-06-10T10:48:31.454Z
