id,user_id,title,description,category,severity,is_emergency,status,location,address,ward_id,needs_community_verification,credibility_score,created_at
d03dd7cd-b413-4a2b-9c42-cf1a417d3a53,558b4ade-c7dc-456e-a817-ca2250410132,Tutis officiis quia crux ipsam defessus virtus tepidus.,Audeo vilitas nemo. Aetas admiratio cuius vorax tolero. Vilitas stultus vix distinctio.,environment,9,false,in_progress,POINT(72.81233594037053 19.043122050845046),"930 Armando Pine, Mumbai, Maharashtra, India",6,false,9,2026-05-28T01:30:23.753Z
c802555e-4f0a-4efa-8120-f9753ad341af,14076684-d510-4186-abf1-7fd70f80055d,Soleo sunt versus valens animi tabesco baiulus conventus.,Clam corporis virtus amiculum tantum conspergo tempora absque decipio abutor. Libero crudelis aspernatur comminor architecto aperiam cedo soluta caelum sit. Pecto ea abeo ducimus deserunt.,sanitation,6,false,community_review,POINT(72.87648079734205 19.112799026636832),"55371 Enid Glen, Mumbai, Maharashtra, India",5,true,8,2026-06-16T09:36:33.887Z
5b5c4e98-8269-40ae-99ac-aac5e1ebda63,6a5f5dc4-2aa8-4d1c-ae1e-f1535dc0b459,Absconditus adulescens sustineo usitas.,Est architecto culpo maxime tempora artificiose volva sed vindico auctor. Aetas acceptus conforto alias abundans caste tabula certus. Virgo alter cubitum tamen sublime defetiscor arma vilicus confugo repellendus.,sanitation,4,false,resolved,POINT(77.0849378821574 28.66853644670797),"6526 Anderson Gateway, New Delhi, Delhi, India",3,false,3,2026-06-13T21:31:45.736Z
f002a0ff-be5b-4393-a082-05ccd66191bd,026d70da-2769-4731-8535-d9c7e9dbeb52,Sustineo quia earum decor vesica appositus talis.,Varius credo aliqua sequi omnis conturbo depraedor occaecati usus quisquam. Arbustum constans aedificium doloremque. Talio excepturi sodalitas unus eum vita defero.,safety,5,false,in_progress,POINT(80.20933139246276 13.094974760614894),"620 N 2nd Street, Chennai, Tamil Nadu, India",8,false,8,2026-06-12T17:21:10.691Z
8400945e-0ea6-494f-b953-690431f4fd8e,250ca593-e194-483e-9ac6-fd465d97c4db,Clamo summopere baiulus degero verecundia totam arbor stillicidium.,Amita audentia defungo unus tantum. Valeo cupiditate aequus corpus deinde carpo ademptio thesaurus blanditiis. Dolorem voluptates sono censura cursus vorago demo illo acceptus.,environment,1,false,open,POINT(78.5048210085282 17.421320546951623),"6759 McCullough-Heidenreich Mall, Hyderabad, Telangana, India",6,false,10,2026-06-18T04:34:58.964Z
a45b63e9-79ef-43d4-99b1-b43f78cdfbcb,026d70da-2769-4731-8535-d9c7e9dbeb52,Desidero decens absque supra sordeo votum utilis.,Usque acervus natus video. Artificiose caste circumvenio terra degusto attonbitus depono. Conculco cetera sequi crapula corroboro ait.,sanitation,5,false,open,POINT(77.05912503274938 28.63868121948548),"5243 Harriet Coves, New Delhi, Delhi, India",2,false,7,2026-06-10T19:03:46.585Z
243eb97c-79d4-441d-aff6-9547de7de11c,9f0166a7-9a1e-4e56-ada7-4516a2717fb8,Canis adipiscor curis virgo.,Vulgivagus carpo spiculum. Strues appello acervus. Unus vitae crudelis illum.,infrastructure,8,false,resolved,POINT(77.6545077345592 12.90767711324115),"193 Cedric Divide, Bengaluru, Karnataka, India",6,false,7,2026-05-31T09:48:32.268Z
3b197991-fcf5-4fb2-9380-c635ac508ecb,d196618d-abd0-4d68-bccc-da1301e73bde,Patruus quis acsi delinquo quo voco.,Acies umbra conitor paulatim culpa cresco deduco conturbo adeo cito. Absorbeo clam placeat volo argentum desino bene astrum. Vere spiculum antiquus summa reprehenderit centum subito.,safety,10,false,in_progress,POINT(77.07191729763842 28.670138914241875),"6089 Trevor Mountain, New Delhi, Delhi, India",2,false,5,2026-06-08T03:34:18.119Z
1f23cceb-1eab-4eca-9646-9c8ba2e76063,e0636f7f-132d-421e-83cb-3454ce87ddec,Deduco tyrannus delinquo defluo delego omnis auxilium esse.,Vilitas acer necessitatibus textilis supplanto benigne utilis. Claro surgo caelestis carbo. Acervus ocer thorax suspendo et correptius quos timor.,environment,2,false,in_progress,POINT(72.94633879650557 19.098848346594036),"934 Gabriel Drive, Mumbai, Maharashtra, India",5,false,7,2026-06-01T15:29:58.804Z
aef453a2-9a5e-4adb-9722-05931506783d,f170b4d8-8f56-4f52-9aae-02a145ea1d84,Aufero talus nostrum cubo.,Deduco contigo credo. Vereor crapula tabernus alveus contabesco bis. Terreo amplexus cresco defendo alii ventosus approbo verus aro odio.,sanitation,8,false,closed,POINT(91.73151288997232 26.10333244860746),"574 Luis Divide, Guwahati, Assam, India",10,false,9,2026-06-07T04:56:47.907Z
